상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-04-16,1899-0218,EBS,식사지원 은영이ver2," 1,430,000 ", 3 , 8 , 5 , 2 ," 50,000 ", 1 ," 30,000 ",63%,267%,40%," 178,750 ",0.42
2026-04-16,1899-0219,SPOTV,식사지원 지영이," 177,419 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-16,1899-0519,SPOTV2,식사지원 사랑이," 171,875 ", 4 , 1 , 1 , 1 ," 20,000 ",,,100%,25%,100%," 171,875 ",1.40
2026-04-16,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - , 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-16,1899-0762,JTBC4,식사지원 은영이ver2," 372,475 ", 10 , - , - , - , - , - , - ,0%,0%,0%, - ,0.00
2026-04-16,1899-7318,JTBC4,가족돌봄 지수," 372,475 ", 10 , 5 , 4 , 2 ," 40,000 ", - , - ,80%,50%,50%," 74,495 ",1.29
2026-04-16,1899-7316,JTBC4, 가족돌봄 지수ver2," 186,238 ", 5 , 1 , - , - , - , - , - ,0%,20%,0%," 186,238 ",0.00
2026-04-16,1899-7319,JTBC4,가족돌봄 선우," 186,238 ", 5 , 1 , - , - , - , - , - ,0%,20%,0%," 186,238 ",0.00
2026-04-16,1899-7325,JTBC4,식사지원 사랑이," 260,733 ", 7 , 1 , - , - , - , - , - ,0%,14%,0%," 260,733 ",0.00
2026-04-16,1899-2887,JTBC4,한아이 세아ver2," 186,238 ", 5 , 4 , 4 , 1 ," 50,000 ", 1 ," 50,000 ",,,,,
2026-04-16,1899-0739,JTBC4,뇌병변 무준이ver2," 297,980 ", 8 , 4 , 2 , 1 ," 20,000 ", - , - ,50%,50%,50%," 74,495 ",0.81
2026-04-16,1899-7326,JTBC2 (SVC),뇌병변 무준이ver2, - , 1 , 4 ,,,,,,0%,400%,0%, - ,0.00
2026-04-16,1899-0776,라이프타임,가족돌봄 지수ver2," 244,784 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-16,1899-7314,히스토리 (SVC),식사지원 지영이, - , 6 ,,,,,,,0%,0%,0%, - ,0.00
2026-04-16,1899-5186,시네마천국,식사지원 지영이," 183,333 ", 8 , 2 , 1 , 2 ," 45,000 ",,,50%,25%,200%," 91,667 ",2.95
2026-04-16,1899-0217,MBN PLUS,은영이 셀럽," 687,500 ", 7 , 4 , 2 , 2 ," 50,000 ",,,,,,,
2026-04-16,-,기타 TV채널,-, - , - , 2 ,,,,,,0%,0%,0%, - ,0.00
2026-04-16,2102-4590,발신,-, - , - , 3 , 2 ,,,,,67%,0%,0%, - ,0.00
2026-04-17,1899-0218,EBS,식사지원 은영이ver2," 1,430,000 ", 3 , 4 , 3 , 2 ," 40,000 ",,,75%,133%,67%," 357,500 ",0.34
2026-04-17,1899-0219,SPOTV,식사지원 지영이," 118,280 ", 2 , 1 ,,,,,,0%,50%,0%," 118,280 ",0.00
2026-04-17,1899-0519,SPOTV2,식사지원 사랑이," 171,875 ", 4 , 4 , 3 ,,,,,75%,100%,0%," 42,969 ",0.00
2026-04-17,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - , 2 ,,,,,,,0%,0%,0%, - ,0.00
